CAS,Name(IUPAC),GC-O 묘사,functional group,Odor Type,Odor description (Goodscents),Flavor Type,Flavor description (Goodscents),FEMA #,FEMA description,Thershold (odor/ppb)
78-83-1,2-methylpropan-1-ol,"알코올, 단, 바나나",Alcohols,ethereal,"cortex, ethereal, winey",ethereal,"ethereal, fusel, whiskey",2179,"Apple, Bitter, Cocoa, Wine",360
123-92-2,3-methylbutylacetate,바나나,Esters,fruity,"banana, estery, ethereal, fruity, ripe, solvent, sweet",fruity,"banana, fruity, green, ripe, sweet",2055,"Apple, Banana, Glue, Pear",0.15
105-68-0,3-methylbutylpropanoate,딸기향,Esters,fruity,"apple, banana, estery, fresh, fruity, green, pine, pineapple, ripe, sweet, tropical, fruit tropical fruit",fruity,"tutti frutti, apple, banana, fruity, melon, pine, pineapple, sweet, tropical",2082,"Apple, Apricot, Pineapple",8.6
5989-27-5,(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene,오렌지 껍질,"terpenes, terpenoids",citrus,"camphoreous, citrus, herbal, terpenic",herbal,"aromatic, citrus, herbal, minty, pine, terpenic, tropical, woody",,,4
123-51-3,3-methylbutan-1-ol,꼬릿 발효,Alcohols,fermented,"alcoholic, banana, cognac, ethereal, fermented, fruity, fusel, molasses, pungent, whiskey",fusel,"banana, cognac, ethereal, fermented, fruity, fusel",2057,"Burnt, Cocoa, Floral, Malt",4
3777-69-3,2-pentylfuran,풀취,Furans,fruity,"beany, earthy, fruity, green, metallic, vegetable",green,"caramellic, cooked, green, musty, waxy",3317,"Butter, Floral, Fruit, Green Bean",5.8
123-66-0,ethylhexanoate,고량주,Esters,fruity,"apple, banana, estery, fatty, fruity, green, pine, pineapple, sweet, waxy",fruity,"apple, banana, estery, fruity, green, pine, pineapple, sweet, waxy",2439,"Apple Peel, Brandy, Fruit Gum, Overripe Fruit, Pineapple",0.01
99-87-6,1-methyl-4-propan-2-ylbenzene,시트러스,"terpenes, terpenoids",terpenic,"chemical, cilantro, citrus, cumin, fresh, lemon, origanum, spicy, terpenic, woody",terpenic,"pepper bell pepper, citrus, green, origanum, rancid, spicy, terpenic, woody",2356,"Citrus, Fresh, Solvent",5.01
3658-80-8,(methyltrisulfanyl)methane,황취,Sulfur Compounds,alliaceous,"alliaceous, cooked, eggy, fresh, green, meaty, onion, savory, sulfurous, vegetable, onion cooked onion, onion green onion",alliaceous,"alliaceous, fresh, gassy, meaty, savory, sulfurous, vegetable",3275,"Cabbage, Fish, Onion, Sulfur",9.9
106-32-1,ethyloctanoate,"풀, 단, 왁스",Esters,waxy,"apple, apricot, banana, brandy, creamy, dairy, fruity, musty, pear, pine, pineapple, sweet, waxy, winey",waxy,"apple, cognac, creamy, fatty, fruity, mushroom, pine, pineapple, soapy, sweet, waxy, winey",2449,"Apricot, Brandy, Fat, Floral, Pineapple",5
64-19-7,aceticacid,"식초, 시큼",Acids,acidic,"acidic, pungent, sharp, sour, vinegar",sour,"fruit overripe fruit, acetic, pungent, ripe, sour",2006,"Acid, Fruit, Pungent, Sour, Vinegar",10000
98-01-1,furan-2-carbaldehyde,견과,Furans,bready,"almond, baked, bready, brown, caramellic, phenolic, sweet, woody, bread baked",brown,"astringent, bready, brown, burnt, caramellic, nutty, stringent, sweet, woody",,,282
1192-62-7,1-(furan-2-yl)ethanone,견과,Furans,balsamic,"almond, balsamic, brown, caramellic, cocoa, coffee, lactonic, milky, nutty, sweet, toasted",nutty,"baked, nutty, roasted, sweet",3163,"Balsamic, Cocoa, Coffee",10000
78-70-6,"3,7-dimethylocta-1,6-dien-3-ol",시트러스,"terpenes, terpenoids",floral,"berry, blueberry, citrus, floral, green, orange, rose, sweet, terpenic, waxy, woody, bois de rose",citrus,"aldehydic, citrus, floral, lemon, orange, waxy, woody",2635,"Coriander, Floral, Lavender, Lemon, Rose",0.01
100-52-7,benzaldehyde,곡물,Carbonyls - Aldehydes,fruity,"almond, bitter, cherry, fruity, nutty, powdery, sharp, sweet, cherry maraschino cherry",fruity,"cherry maraschino cherry, fruit tropical fruit, almond, cherry, fruity, nutty, oily, sweet, tropical, woody",2127,"Bitter Almond, Burnt Sugar, Cherry, Malt, Roasted Pepper",24
13327-56-5,ethyl3-methylsulfanylpropanoate,"건조된 풀, 쌀?",Sulfur Compounds,sulfurous,"apple, fruity, metallic, pine, pineapple, pulpy, ripe, sulfurous, tomato",sulfurous,"apple, garlic, onion, pine, pineapple, rummy, sulfurous, vegetable",3343,"Cabbage, Caramel, Grass, Menthol",7
611-13-2,methylfuran-2-carboxylate,케미컬,Furans,fungal,"fruity, fungal, mushroom, sweet, tobacco",caramellic,"sugar brown sugar, brown, caramellic, musty, sugar, sweet",2703,Fruit,1000
112-12-9,undecan-2-one,"왁스, 케미컬",Carbonyls - Ketones,fruity,"apple, creamy, fatty, floral, fruity, ketonic, orris, pine, pineapple, waxy",waxy,"cheesy, creamy, fatty, fruity, waxy",3093,"Fresh, Green, Orange, Rose",5.5
110-38-3,ethyldecanoate,"왁스, 꼬릿, earthy, 곡물",Esters,waxy,"apple, brandy, fruity, grape, oily, sweet, waxy",waxy,"apple, fruity, sweet, waxy",2432,"Brandy, Grape, Pear",5
2035-99-6,3-methylbutyloctanoate,"꼬릿, earthy",Esters,fruity,"apple, coconut, fatty, fruity, green, oily, pine, pineapple, soapy, sweet, waxy",fruity,"apple, coconut, cognac, fruity, green, pine, pineapple, sweet, waxy",2080,Fruit,70
503-74-2,3-methylbutanoicacid,"액젓, 꼬릿",Acids,cheesy,"acidic, cheesy, dairy, fatty, fruity, pungent, ripe, sour, sweaty, tropical",cheesy,"berry, cheesy, creamy, dairy, fermented, sweet, waxy",3102,"Cheese, Pungent",12
123-25-1,diethylbutanedioate,"구수, 견과, 흙",Esters,fruity,"apple, cooked, fruity, ylang, apple cooked apple",fruity,"passion fruit, floral, fruity, tart, tropical",2377,"Cotton, Fabric, Floral, Fruit, Wine",0.07
98-55-5,2-(4-methylcyclohex-3-en-1-yl)propan-2-ol  ,과일껍질,"terpenes, terpenoids",terpenic,"citrus, cooling, dry, floral, lemon, lilac, lime, pine, resinous, terpenic, woody",citrus,"citrus, lemon, lime, soapy, woody",3045,"Anise, Fresh, Mint, Oil",4.6
505-10-2,3-methylsulfanylpropan-1-ol,누룽지,Sulfur Compounds,meaty,"cooked, meaty, onion, savory, soup, sulfurous, sweet, vegetable",onion,"bouillon, garlic, meaty, onion, savory, soup, sweet",3415,"Earth, Garlic, Potato, Soy",36
103-45-7,2-phenylethylacetate,"달달, ",Esters,floral,"balsamic, cocoa, floral, fruity, honey, rose, sweet, tropical, yeasty",honey,"floral, fruity, green, honey, rose, sweet",2857,"Flower, Honey, Rose",19
106-33-2,ethyldodecanoate,"단, 꽃",Esters,waxy,"clean, creamy, floral, rummy, soapy, sweet, waxy",waxy,"creamy, dairy, floral, fruity, soapy, waxy",2441,"Floral, Fruit, Leaf",400
483-76-1,"(1S,8aR)-4,7-dimethyl-1-propan-2-yl-1,2,3,5,6,8a-hexahydronaphthalene",허브,"terpenes, terpenoids",herbal,"dry, herbal, thyme, woody",,,4967,Fruity,1000
60-12-8,2-phenylethanol,"꽃, 장미꽃",Alcohols,floral,"bready, floral, fresh, honey, rose, sweet, rose dried rose",floral,"bready, floral, rose, sweet",,,140
124-06-1,ethyltetradecanoate,단 크리미,Esters,waxy,"orris, sweet, violet, waxy",waxy,"creamy, sweet, waxy",2445,Wax,180
