Name(IUPAC),Common_name,Cas,functional group,Odor Type,Odor description (Goodscents),Flavor Type,Flavor description (Goodscents),FEMA #,FEMA description,Thershold (odor)
alpha-corocalene,alpha-corocalene,20129-39-9,"terpenes, terpenoids",,,,,,,
ethyl2-phenylacetate,ethyl phenyl acetate,101-97-3,Esters,floral,"anisic, balsamic, chocolate, cocoa, floral, honey, licorice, rose, sweet, chocolate dark chocolate, licorice black licorice",honey,"balsamic, cocoa, honey, molasses, rose, sweet, yeasty",2452,"Floral, Fruit, Honey, Rose",0.15555
2-phenylethylacetate,phenethyl acetate,103-45-7,Esters,floral,"balsamic, cocoa, floral, fruity, honey, rose, sweet, tropical, yeasty",honey,"floral, fruity, green, honey, rose, sweet",2857,"Flower, Honey, Rose",0.019
ethyldodecanoate,ethyl laurate,106-33-2,Esters,waxy,"clean, creamy, floral, rummy, soapy, sweet, waxy",waxy,"creamy, dairy, floral, fruity, soapy, waxy",2441,"Floral, Fruit, Leaf",0.4
3-methylbutyldecanoate,isoamyl decanoate,2306-91-4,Esters,waxy,"banana, cognac, dirty, fruity, green, sweet, waxy",waxy,"banana, cheesy, creamy, fatty, fruity, green, waxy",,,
2-phenylethanol,phenethyl alcohol,60-12-8,Alcohols,floral,"bready, floral, fresh, honey, rose, sweet, rose dried rose",floral,"bready, floral, rose, sweet",,,0.14
"tricyclo[10.2.1.02,11]pentadeca-4,8-diene",,74708-73-9,Hydrocarbons,,,,,,,
phenol??,phenol,108-95-2,Phenols,phenolic,"phenolic, plastic, rubbery",,,3223,,0.031
propan-2-yltetradecanoate,isopropyl myristate,110-27-0,Esters,,"fatty, oily",,,3556,Dairy,
ethyltetradecanoate,ethyl myristate,124-06-1,Esters,waxy,"orris, sweet, violet, waxy",waxy,"creamy, sweet, waxy",2445,Wax,0.18
methyl 2-methyl hexadecanoate,methyl 2-methyl hexadecanoate,2490-53-1,Esters,,,,,,,
nonanoicacid,nonanoic acid,112-05-0,Acids,waxy,"cheesy, dairy, dirty, waxy",fatty,"cheesy, creamy, fatty, sweet, waxy",2784,"Fat, Green, Sour",3
4-ethenyl-2-methoxyphenol,2-methoxy-4-vinyl phenol,7786-61-0,Phenols,spicy,"carnation, clove, peppery, phenolic, powdery, smoky, spicy, sweet, woody",spicy,"amber, balsamic, clove, phenolic, powdery, smoky, spicy, woody",2675,"Clove, Curry, Spice",0.003
ethylhexadecanoate,ethyl palmitate,628-97-7,Esters,waxy,"balsamic, creamy, fruity, greasy, milky, oily, waxy",waxy,"balsamic, buttery, creamy, dairy, fermented, fruity, oily, vanilla, waxy",2451,Wax,2
ethyl (E)-hexadec-9-enoate,ethyl 9-hexadecenoate,54546-22-4,Esters,,,,,,,
ethyl phenyl lactate,ethyl phenyl lactate,15399-05-0,Esters,spicy,"peppery, spicy, pepper black pepper",,,4598,,
"2,4,7,9-tetramethyldec-5-yne-4,7-diol","2,4,7,9-tetramethyl-5-decyne-4,7-diol (mixture of (±) and meso)",126-86-3,Alcohols,,,,,,,
