CAS,Name(IUPAC),GC-O 묘사,Thershold (odor/ ppm),functional group,Odor Type,Odor description (Goodscents),Flavor Type,Flavor description (Goodscents),FEMA #,FEMA description
2035-99-6,3-methylbutyloctanoate,"꼬릿, earthy",70,Esters,fruity,"apple, coconut, fatty, fruity, green, oily, pine, pineapple, soapy, sweet, waxy",fruity,"apple, coconut, cognac, fruity, green, pine, pineapple, sweet, waxy",2080,Fruit
503-74-2,3-methylbutanoicacid,"액젓, 꼬릿",12,Acids,cheesy,"acidic, cheesy, dairy, fatty, fruity, pungent, ripe, sour, sweaty, tropical",cheesy,"berry, cheesy, creamy, dairy, fermented, sweet, waxy",3102,"Cheese, Pungent"
123-25-1,diethylbutanedioate,"구수, 견과, 흙",0.07,Esters,fruity,"apple, cooked, fruity, ylang, apple cooked apple",fruity,"passion fruit, floral, fruity, tart, tropical",2377,"Cotton, Fabric, Floral, Fruit, Wine"
98-55-5,2-(4-methylcyclohex-3-en-1-yl)propan-2-ol  ,과일껍질,4.6,"terpenes, terpenoids",terpenic,"citrus, cooling, dry, floral, lemon, lilac, lime, pine, resinous, terpenic, woody",citrus,"citrus, lemon, lime, soapy, woody",3045,"Anise, Fresh, Mint, Oil"
505-10-2,3-methylsulfanylpropan-1-ol,누룽지,36,Sulfur Compounds,meaty,"cooked, meaty, onion, savory, soup, sulfurous, sweet, vegetable",onion,"bouillon, garlic, meaty, onion, savory, soup, sweet",3415,"Earth, Garlic, Potato, Soy"
103-45-7,2-phenylethylacetate,"달달, ",19,Esters,floral,"balsamic, cocoa, floral, fruity, honey, rose, sweet, tropical, yeasty",honey,"floral, fruity, green, honey, rose, sweet",2857,"Flower, Honey, Rose"
106-33-2,ethyldodecanoate,"단, 꽃",400,Esters,waxy,"clean, creamy, floral, rummy, soapy, sweet, waxy",waxy,"creamy, dairy, floral, fruity, soapy, waxy",2441,"Floral, Fruit, Leaf"
483-76-1,"(1S,8aR)-4,7-dimethyl-1-propan-2-yl-1,2,3,5,6,8a-hexahydronaphthalene",허브,1000,"terpenes, terpenoids",herbal,"dry, herbal, thyme, woody",,,4967,Fruity
60-12-8,2-phenylethanol,"꽃, 장미꽃",140,Alcohols,floral,"bready, floral, fresh, honey, rose, sweet, rose dried rose",floral,"bready, floral, rose, sweet",,
124-06-1,ethyltetradecanoate,단 크리미,180,Esters,waxy,"orris, sweet, violet, waxy",waxy,"creamy, sweet, waxy",2445,Wax
